,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,1997-01-02T00:00:00.000Z,52.12,53.5,51.88,53.5,126100,19.3539910202,19.8664336067,19.2648705704,19.8664336067,126100,0.0,1.0
1,1997-01-03T00:00:00.000Z,52.0,53.0,52.0,52.12,294000,19.3094307953,19.6807660029,19.3094307953,19.3539910202,294000,0.0,1.0
2,1997-01-06T00:00:00.000Z,52.88,53.0,52.25,52.25,324400,19.636205778,19.6807660029,19.4022645972,19.4022645972,324400,0.0,1.0
3,1997-01-07T00:00:00.000Z,53.62,53.62,52.25,52.62,180100,19.9109938316,19.9109938316,19.4022645972,19.539658624,180100,0.0,1.0
4,1997-01-08T00:00:00.000Z,52.0,54.0,51.88,53.38,180800,19.3094307953,20.0521012105,19.2648705704,19.8218733818,180800,0.0,1.0
5,1997-01-09T00:00:00.000Z,53.12,53.12,52.12,52.12,82200,19.7253262278,19.7253262278,19.3539910202,19.3539910202,82200,0.0,1.0
6,1997-01-10T00:00:00.000Z,52.62,52.88,52.25,52.75,111600,19.539658624,19.636205778,19.4022645972,19.587932201,111600,0.0,1.0
7,1997-01-13T00:00:00.000Z,52.62,53.12,52.5,52.88,56300,19.539658624,19.7253262278,19.4950983991,19.636205778,56300,0.0,1.0
8,1997-01-14T00:00:00.000Z,53.75,53.88,52.62,52.62,71700,19.9592674086,20.0075409856,19.539658624,19.539658624,71700,0.0,1.0
9,1997-01-15T00:00:00.000Z,53.25,54.25,53.25,53.62,178300,19.7735998048,20.1449350124,19.7735998048,19.9109938316,178300,0.0,1.0
10,1997-01-16T00:00:00.000Z,52.62,53.38,52.38,53.25,140600,19.539658624,19.8218733818,19.4505381742,19.7735998048,140600,0.0,1.0
11,1997-01-17T00:00:00.000Z,52.25,52.88,52.0,52.62,192200,19.4022645972,19.636205778,19.3094307953,19.539658624,192200,0.0,1.0
12,1997-01-20T00:00:00.000Z,52.75,52.75,51.25,52.25,243800,19.587932201,19.587932201,19.0309293896,19.4022645972,243800,0.0,1.0
